"Baja" "edatcat" "sexo" "antig" "Nomina" "Pension" "Debito_normal" "Debito_aff" "VISA" "VISA_aff" "MCard" "Amex" "Total_activo" "Total_Plazo" "Total_Inversion" "Total_Seguros" "Total_Vista" "dif_resid" "oper_caj_Libreta" "oper_ven_Libreta" "dif_CC" "dif_Libreta" "dif_Plazo" "dif_Ahorro" "dif_Largo_plazo" "dif_Fondos_inv" "dif_Seguros" "dif_Planes_pension" "dif_Hipoteca" "dif_Prest_personales"
"Baja NO" "edatcat 26-35" "HOMBRE" 12 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 65 "cambio resid. NO" 0 -27.5 62.41 0 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 17 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 3825 0 0 94 "cambio resid. NO" 0 -61.48 0 -32.97 3825 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 17 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 5030 0 156 2538 "cambio resid. NO" 0 239.59 0 2537.04 0 0 5030 0 156 0 0 0
"Baja NO" "edatcat 46-55" "HOMBRE" 21 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 263 50 0 175 16 "cambio resid. NO" 40 18.78 0 -22 0 50 0 0 -31 0 0 183
"Baja NO" "edatcat 66.." "No informado" 17 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 156 "cambio resid. NO" 65 0 0 135.92 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 20 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 94 "cambio resid. NO" 127.5 -97.25 0 92 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 46-55" "No informado" 16 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 25 0 807 608 23 "cambio resid. NO" 0 0 -151.24 23.85 0 0 0 807 -49.24 0 0 23
"Baja NO" "edatcat 36-45" "HOMBRE" 18 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 335 0 0 0 46 "cambio resid. NO" 0 0 0 -50 0 0 0 0 0 0 220 0
"Baja NO" "edatcat 36-45" "HOMBRE" 15 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 2019 61 "cambio resid. NO" 5.5 0 60 0 0 0 0 0 2019 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 10 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 978 "cambio resid. NO" 0 0 0 -4.86 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "No informado" 15 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 2060 61 "cambio resid. NO" 5.5 0 60 0 0 0 0 0 2060 0 0 0
"Baja NO" "edatcat 66.." "No informado" 19 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 12500 0 0 5745 "cambio resid. NO" 0 357.5 2449 3291 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "No informado" 13 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 45 "cambio resid. NO" 9 25 0 38.95 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 21 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 205 "cambio resid. NO" 0 1.25 0 -9.77 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 18-25" "HOMBRE" 18 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 115 "cambio resid. NO" -134.5 159.25 0 105.4 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "No informado" 14 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 33 "cambio resid. NO" 94 0 0 21.69 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 26-35" "HOMBRE" 13 "Nomina SI" "Pension NO" "Debito normal SI" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 52 "cambio resid. NO" 503.04 66.65 51.7 0 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 56-65" "No informado" 18 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 2000 0 0 886 "cambio resid. NO" -34 233.52 0 894.83 2000 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 16 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 432 "cambio resid. NO" 0 0 0 1.6 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 15 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 178 "cambio resid. NO" -75 -300 0 59.46 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 6 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 199 "cambio resid. NO" -132.75 0 0 195.6 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 46-55" "HOMBRE" 11 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 135 "cambio resid. NO" 0 0 0 71.04 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 19 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 2622 371 "cambio resid. NO" 7.5 107.5 0 359 0 0 0 0 2622 0 0 0
"Baja NO" "edatcat 46-55" "HOMBRE" 18 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 2901 0 0 0 0 "cambio resid. NO" 0 0 0 0 0 0 0 0 0 0 238 0
"Baja NO" "edatcat 36-45" "HOMBRE" 14 "Nomina SI" NA "Debito normal SI" "Debito aff. SI" "VISA SI" "VISA aff. SI" "MCard SI" "Amex SI" 0 19000 0 0 7486 "cambio resid. SI" 334 502.5 0 7467.83 17000 0 0 0 0 0 0 0
"Baja NO" "edatcat 46-55" "No informado" 18 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 105 0 0 0 0 "cambio resid. NO" 0 0 0 0 0 0 0 0 0 0 0 60
"Baja NO" "edatcat 66.." "No informado" 17 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 601 0 0 63 "cambio resid. NO" 0 0 0 -195.36 0 0 601 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 21 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 257 "cambio resid. NO" 0 56.25 0 -170.41 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 26 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 4702 "cambio resid. NO" 180.75 8.5 1475.12 3227.06 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 18 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 1004 0 469 "cambio resid. NO" 0 195.12 0 196 0 0 0 1004 0 0 0 0
"Baja NO" "edatcat 46-55" "HOMBRE" 15 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 1141 0 0 82 3 "cambio resid. NO" 0 0 0 -0.96 0 0 0 0 -0.37 0 0 62
"Baja NO" "edatcat 36-45" "HOMBRE" 17 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 2089 "cambio resid. NO" 87 66.5 0 -273.92 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "No informado" 10 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. SI" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 360 0 0 0 19 "cambio resid. NO" -328.75 65.25 0 -63.68 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 14 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 115 "cambio resid. NO" 0 -67 0 99.98 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 7 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 2300 0 0 0 "cambio resid. NO" 0 0 0 0 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "No informado" 14 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 175 0 0 17 "cambio resid. NO" 0 0 0 0 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 15 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 4000 795 0 488 "cambio resid. NO" 0 62.5 302 0 4000 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 21 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 6048 0 0 811 "cambio resid. NO" 0 153.75 0 753.8 0 0 6048 0 0 0 0 0
"Baja NO" "edatcat 56-65" "HOMBRE" 12 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 3005 0 0 49 "cambio resid. NO" 0 40 0 -1184.47 0 0 3005 0 0 0 0 0
"Baja NO" "edatcat 36-45" "HOMBRE" 12 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 22 "cambio resid. NO" 0 11.25 0 -20.47 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 18-25" "HOMBRE" 15 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 2141 0 0 0 173 "cambio resid. NO" 197.25 50.25 0 154.8 0 0 0 0 0 0 0 2141
"Baja NO" "edatcat 36-45" "HOMBRE" 15 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 10 "cambio resid. NO" -8.5 1.94 0 -11.7 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 56-65" "HOMBRE" 21 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 2550 108 "cambio resid. NO" 0 610.07 0 32.33 0 0 0 0 2550 0 0 0
"Baja NO" "edatcat 66.." "No informado" 19 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 334 "cambio resid. NO" 0 0 0 153 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 13 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 200 0 0 16 "cambio resid. NO" 0 -90 0 1.77 0 0 200 0 0 0 0 0
"Baja NO" "edatcat 26-35" "HOMBRE" 18 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 8 "cambio resid. NO" -336 2.25 0 -41 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 16-17" "No informado" 18 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 114 "cambio resid. NO" 0 0 0 -5.46 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 21 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 71 "cambio resid. NO" 0 -57.4 0 25.52 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 18 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 580 "cambio resid. NO" 26.25 70 555 -0.1 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 18-25" "HOMBRE" 10 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 94 "cambio resid. NO" 362.75 21.25 0 51.28 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 26-35" "No informado" 13 "Nomina NO" "Pension NO" "Debito normal SI" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 468 0 0 152 "cambio resid. NO" -168.25 -580 0 57 0 468 0 0 0 0 0 0
"Baja NO" "edatcat 46-55" "No informado" 20 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 181 0 0 0 0 "cambio resid. NO" 0 0 0 0 0 0 0 0 0 0 0 31
"Baja NO" "edatcat 66.." "HOMBRE" 12 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 161 0 0 0 14 "cambio resid. NO" 37.25 2 0 12.78 0 0 0 0 0 0 0 161
"Baja NO" "edatcat 66.." "HOMBRE" 16 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 1008 0 13 "cambio resid. NO" 62.5 -114 0 13.44 0 0 0 1008 0 0 0 0
"Baja NO" "edatcat 56-65" "HOMBRE" 18 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 111 "cambio resid. NO" -25 132.5 0 -154.84 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 19 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 5000 562 "cambio resid. NO" 0 139.97 0 356.58 0 0 0 0 -6.19 0 0 0
"Baja NO" "edatcat 46-55" "HOMBRE" 16 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 56 "cambio resid. NO" 0 6.25 0 51 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 17 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 27976 982 0 871 "cambio resid. NO" 0 0 0 685.56 27000 0 -903.58 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 17 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 325 "cambio resid. NO" 0 418.75 0 170.07 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 56-65" "No informado" 13 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 30444 0 5 "cambio resid. NO" 0 0 -3312.54 0 0 0 0 30444 0 0 0 0
"Baja NO" "edatcat 18-25" "No informado" 20 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 94 0 15 "cambio resid. NO" 0 0 0 5.2 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 10 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 2108 0 0 95 "cambio resid. NO" 0 9.08 0 -34.06 0 0 8 0 0 0 0 0
"Baja NO" "edatcat 26-35" "HOMBRE" 10 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 81 67 "cambio resid. NO" 0 217.75 0 52.42 0 0 0 0 -12.17 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 21 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 350 "cambio resid. NO" 0 25 109.65 170.72 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "HOMBRE" 21 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 508 0 0 0 6 "cambio resid. NO" 0 0 0 6.03 0 0 0 0 0 0 456 0
"Baja NO" "edatcat 66.." "No informado" 16 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 6035 0 0 958 "cambio resid. NO" 0 -71.55 0 226.81 6035 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 19 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 284 "cambio resid. NO" 0 19.67 0 -9469.1 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 16 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 300 7 "cambio resid. NO" 6.75 75 0 2 0 0 0 0 300 0 0 0
"Baja NO" "edatcat 66.." "No informado" 19 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 500 0 0 273 "cambio resid. NO" 0 -37.5 0 -106.27 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "No informado" 13 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 16501 0 0 285 "cambio resid. NO" 0 0 169.61 0 10364.75 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "HOMBRE" 20 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 10697 0 0 458 316 "cambio resid. NO" 55.5 244.55 0 320.62 0 0 0 0 458 0 8479 0
"Baja NO" "edatcat 26-35" "HOMBRE" 18 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 4913 0 10 "cambio resid. NO" 11.5 0 0 10 0 0 0 -18.46 0 0 0 0
"Baja NO" "edatcat 18-25" "HOMBRE" 17 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. SI" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 87 "cambio resid. NO" 0 0 0 10.12 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 16-17" "No informado" 18 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 174 1 "cambio resid. NO" -8 0 0 -91.31 0 0 0 0 -2.3 0 0 0
"Baja NO" "edatcat 16-17" "HOMBRE" 18 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 82 "cambio resid. NO" -210 48 0 53.02 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 18 "Nomina SI" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 56 "cambio resid. NO" 0 0 0 0.99 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "HOMBRE" 21 "Nomina SI" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 189 "cambio resid. NO" -137 33.75 0 -291 -11200 0 0 0 0 0 0 0
"Baja NO" "edatcat 18-25" "No informado" 13 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 14 "cambio resid. NO" -61.5 -40 0 -6.42 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 46-55" "HOMBRE" 21 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 247 "cambio resid. NO" 21 20 0 238 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 46-55" "No informado" 19 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 36 "cambio resid. NO" 0 -20.25 0 17.29 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 26-35" "HOMBRE" 11 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 721 "cambio resid. NO" 1 0 0 -2480.63 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 66.." "No informado" 20 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 16 "cambio resid. NO" 0 0 0 1.34 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 18-25" "HOMBRE" 19 "Nomina NO" "Pension NO" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 335 0 0 4 "cambio resid. NO" 0 -60 0 -57.18 335 0 0 0 0 0 0 0
"Baja NO" "edatcat 56-65" "HOMBRE" 18 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA NO" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 1825 "cambio resid. NO" 0 12.5 0 1419.09 0 0 0 0 0 0 0 0
"Baja NO" "edatcat 36-45" "No informado" 13 "Nomina NO" "Pension SI" "Debito normal NO" "Debito aff. NO" "VISA SI" "VISA aff. NO" "MCard NO" "Amex NO" 0 0 0 0 67 "cambio resid. NO" -35.5 7.5 0 -16 0 0 0 0 0 0 0 0
